,15826,11608,10802,12981,7772,13254,13255,16106,16107,5457,4841,16891,10531,14017,4592,7782,3074,265,266,10787,5905,5759,6263,17399,17400,10262,7376,15017,16969,15045,15937,7963,250,1584,11847,7199,11593,4139,2777,17543,13998,1068,9885,1164,14669,6143,13873,9209,9210,3592,2140,15537,16920,16921,5300,17362,3228,3229,3230,6229,8812,4878,13538,17584,8123,11026,9200,9201,7081,11118,9889,6675,7980,14410,2858,8299,14961,8082,8716
gbifID,1458558946,1458519944,1458542146,1458500591,1458558895,1458510366,1458510366,1458513814,1458513814,1458558828,1458498654,1458496847,1458444831,1458280978,1458438009,1458281331,1458445972,1458456954,1458456954,1458445688,1458268075,1458445686,1458440219,1458457441,1458457441,1458456577,1458211675,1458206882,932206304,1458203798,1458438186,1458250216,1458270659,1458262115,1458450414,1458206883,1458273287,1458445968,1458444825,1458445676,932002418,1458262222,1458233765,1458437523,1458305334,931176390,931763741,1458264335,1458264335,1458159023,1458464945,1458377708,932165060,932165060,1458272970,1458452856,1458282255,1458282255,1458282255,1458448356,1458204184,1458445976,1458249450,1458211683,1458282440,932207597,1458140033,1458140033,1458432904,1458467690,1458467965,1458475475,1458479423,1458477504,1458495646,1458493990,1458471307,1458483925,1458483691
type_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
references_x,https://www.artportalen.se/Image/523450,https://www.artportalen.se/Image/520907,https://www.artportalen.se/Image/521520,https://www.artportalen.se/Image/518610,https://www.artportalen.se/Image/523565,https://www.artportalen.se/Image/519542,https://www.artportalen.se/Image/519543,https://www.artportalen.se/Image/537737,https://www.artportalen.se/Image/537738,https://www.artportalen.se/Image/523563,https://www.artportalen.se/Image/518369,https://www.artportalen.se/Image/518154,https://www.artportalen.se/Image/513314,https://www.artportalen.se/Image/506097,https://www.artportalen.se/Image/512512,https://www.artportalen.se/Image/506133,https://www.artportalen.se/Image/513560,https://www.artportalen.se/Image/514462,https://www.artportalen.se/Image/514463,https://www.artportalen.se/Image/513466,https://www.artportalen.se/Image/504903,https://www.artportalen.se/Image/513461,https://www.artportalen.se/Image/525693,https://www.artportalen.se/Image/514665,https://www.artportalen.se/Image/514558,https://www.artportalen.se/Image/514425,https://www.artportalen.se/Image/500473,https://www.artportalen.se/Image/499931,https://www.artportalen.se/Image/713141,https://www.artportalen.se/Image/525698,https://www.artportalen.se/Image/512530,https://www.artportalen.se/Image/503516,https://www.artportalen.se/Image/505111,https://www.artportalen.se/Image/504340,https://www.artportalen.se/Image/513754,https://www.artportalen.se/Image/499932,https://www.artportalen.se/Image/505448,https://www.artportalen.se/Image/513559,https://www.artportalen.se/Image/513315,https://www.artportalen.se/Image/513454,https://www.artportalen.se/Image/707355,https://www.artportalen.se/Image/505110,https://www.artportalen.se/Image/502410,https://www.artportalen.se/Image/512471,https://www.artportalen.se/Image/507458,https://www.artportalen.se/Image/701677,https://www.artportalen.se/Image/702662,https://www.artportalen.se/Image/504493,https://www.artportalen.se/Image/504492,https://www.artportalen.se/Image/496732,https://www.artportalen.se/Image/515380,https://www.artportalen.se/Image/508656,https://www.artportalen.se/Image/711821,https://www.artportalen.se/Image/711822,https://www.artportalen.se/Image/505411,https://www.artportalen.se/Image/514015,https://www.artportalen.se/Image/506175,https://www.artportalen.se/Image/506176,https://www.artportalen.se/Image/506173,https://www.artportalen.se/Image/513646,https://www.artportalen.se/Image/499716,https://www.artportalen.se/Image/513561,https://www.artportalen.se/Image/503510,https://www.artportalen.se/Image/500474,https://www.artportalen.se/Image/506203,https://www.artportalen.se/Image/712952,https://www.artportalen.se/Image/493440,https://www.artportalen.se/Image/494731,https://www.artportalen.se/Image/512040,https://www.artportalen.se/Image/515578,https://www.artportalen.se/Image/515612,https://www.artportalen.se/Image/516163,https://www.artportalen.se/Image/517215,https://www.artportalen.se/Image/516345,https://www.artportalen.se/Image/518013,https://www.artportalen.se/Image/517898,https://www.artportalen.se/Image/515950,https://www.artportalen.se/Image/517060,https://www.artportalen.se/Image/516991
title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
created,2008-09-29,2008-08-22,2008-08-28,2008-07-31,2008-09-30,2008-08-08,2008-08-08,2009-08-03,2009-08-03,2008-09-30,2008-07-29,2008-07-28,2008-06-09,2007-09-09,2008-06-02,2007-09-10,2008-06-11,2008-06-22,2008-06-22,2008-06-10,2007-08-20,2008-06-10,2009-02-11,2008-06-23,2008-06-22,2008-06-21,2007-06-17,2007-06-10,2014-06-29,2009-02-11,2008-06-02,2007-08-01,2007-08-23,2007-08-11,2008-06-13,2007-06-10,2007-08-27,2008-06-11,2008-06-09,2008-06-10,2014-06-11,2007-08-23,2007-07-14,2008-06-01,2007-11-01,2014-05-24,2014-05-27,2007-08-14,2007-08-14,2007-01-26,2008-06-30,2008-02-29,2014-06-25,2014-06-25,2007-08-26,2008-06-17,2007-09-11,2007-09-11,2007-09-11,2008-06-12,2007-06-07,2008-06-11,2007-08-01,2007-06-17,2007-09-12,2014-06-29,2006-11-11,2006-12-05,2008-05-28,2008-07-02,2008-07-03,2008-07-07,2008-07-19,2008-07-10,2008-07-27,2008-07-26,2008-07-06,2008-07-17,2008-07-16
